Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Andre Cisco",SYR,7,47,6.71,39,0,46,14,60,0.0,0.0,Defense
"Hamp Cheevers",BC,7,135,19.29,81t,1,27,12,39,0.0,0.0,Defense
"Nate Brooks",UNT,6,15,2.50,13,0,48,19,67,0.0,0.0,Defense
"Jaylinn Hawkins",CAL,6,39,6.50,29,0,25,8,33,0.0,0.0,Defense
"Richie Grant",UCF,6,40,6.67,25,0,68,40,108,0.0,0.0,Defense
"Ky'el Hemby",USM,6,86,14.33,33,0,38,13,51,0.0,0.0,Defense
"Wesley Bush",MTSU,6,149,24.83,75t,2,40,30,70,0.5,2.0,Defense
"Juwan Foggie",CHAR,6,186,31.00,79t,2,34,34,68,1.0,6.0,Defense
"Grant Delpit",LSU,5,1,0.20,1,0,46,28,74,5.0,44.0,Defense
"Jevon Holland",ORE,5,8,1.60,6,0,31,11,42,0.0,0.0,Defense
"Tre Watson",MD,5,51,10.20,36t,1,70,44,114,1.0,7.0,Defense
"Adrian Frye",TTU,5,55,11.00,48t,1,17,4,21,0.0,0.0,Defense
"Kemon Hall",UNT,5,60,12.00,36t,2,39,9,48,0.0,0.0,Defense
"Cedarius Rookard",TROY,5,105,21.00,60,0,32,40,72,0.0,0.0,Defense
"Juan Thornhill",UVA,5,141,28.20,62,0,62,36,98,0.0,0.0,Defense
"Joejuan Williams",VAN,4,8,2.00,8,0,48,13,61,0.0,0.0,Defense
"Jerry Jacobs",ARST,4,19,4.75,13,0,25,7,32,0.0,0.0,Defense
"Rashad Smith",FAU,4,22,5.50,16,0,34,49,83,1.0,5.0,Defense
"Stanford Samuels III",FSU,4,23,5.75,11,0,37,21,58,0.0,0.0,Defense
"Geno Stone",IOWA,4,24,6.00,24t,1,29,10,39,0.0,0.0,Defense
"J.R. Pace",NW,4,26,6.50,26,0,51,31,82,0.0,0.0,Defense
"Amik Robertson",LT,4,27,6.75,27,0,44,17,61,1.0,9.0,Defense
"Josh Thomas",APST,4,28,7.00,18,0,31,12,43,0.0,0.0,Defense
"Darnell Savage Jr.",MD,4,30,7.50,23t,1,38,14,52,0.0,0.0,Defense
"Javin White",UNLV,4,30,7.50,22,0,40,34,74,2.0,6.0,Defense
"DJ Williams",USU,4,31,7.75,31,0,33,9,42,1.0,7.0,Defense
"Caden Sterns",TEX,4,33,8.25,33,0,46,16,62,1.0,3.0,Defense
"Cooper Edmiston",TULS,4,34,8.50,26,0,47,66,113,0.5,1.0,Defense
"Cassius Grady",UTSA,4,36,9.00,27,0,36,9,45,0.0,0.0,Defense
"Del'Shawn Phillips",ILL,4,36,9.00,34,0,45,50,95,1.5,11.0,Defense
"Kindle Vildor",GSU,4,36,9.00,17,0,31,11,42,0.0,0.0,Defense
"Paulson Adebo",STAN,4,45,11.25,43,0,44,19,63,0.0,0.0,Defense
"Jake Gervase",IOWA,4,50,12.50,28,0,49,40,89,0.0,0.0,Defense
"Khairi Muhammad",UNT,4,52,13.00,22,0,43,24,67,0.0,0.0,Defense
"Delvon Randall",TEM,4,52,13.00,52t,1,62,23,85,0.0,0.0,Defense
"Kenny Robinson",WVU,4,58,14.50,42,0,52,25,77,0.0,0.0,Defense
"Ashtyn Davis",CAL,4,59,14.75,35t,1,37,18,55,0.0,0.0,Defense
"Amani Hooker",IOWA,4,60,15.00,39,0,36,29,65,1.0,6.0,Defense
"Juju Hughes",FRES,4,65,16.25,33,0,40,38,78,0.0,0.0,Defense
"Jalen Elliott",ND,4,66,16.50,24,0,36,31,67,0.5,0.0,Defense
"Prudy Calderon",RICE,4,67,16.75,32,0,28,10,38,0.0,0.0,Defense
"Byron Murphy",WASH,4,78,19.50,66t,1,37,21,58,0.0,0.0,Defense
"James Wiggins",CINN,4,83,20.75,86t,1,36,18,54,0.0,0.0,Defense
"Dakari Monroe",SJSU,4,88,22.00,50t,1,32,24,56,0.0,0.0,Defense
"Aaron Wade",USU,4,96,24.00,95t,1,28,22,50,0.0,0.0,Defense
