Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,"Stat Type"
"Jaylinn Hawkins",CAL,6,39,6.50,29,0,25,8,33,0.0,0.0,Defense
"Jevon Holland",ORE,5,8,1.60,6,0,31,11,42,0.0,0.0,Defense
"Paulson Adebo",STAN,4,45,11.25,43,0,44,19,63,0.0,0.0,Defense
"Ashtyn Davis",CAL,4,59,14.75,35t,1,37,18,55,0.0,0.0,Defense
"Byron Murphy",WASH,4,78,19.50,66t,1,37,21,58,0.0,0.0,Defense
"Deommodore Lenoir",ORE,3,14,4.67,11,0,38,14,52,0.0,0.0,Defense
"Chase Lucas",AZST,3,22,7.33,19,0,49,13,62,2.0,10.0,Defense
"Traveon Beck",CAL,3,23,7.67,20,0,26,6,32,0.0,0.0,Defense
"Darnay Holmes",UCLA,3,31,10.33,31t,1,36,12,48,0.0,0.0,Defense
"Scottie Young Jr.",ARIZ,3,63,21.00,38,1,28,10,38,0.0,0.0,Defense
"Marcus Strong",WSU,3,66,22.00,66,0,35,7,42,2.0,18.0,Defense
"Ugo Amadi",ORE,3,70,23.33,38t,2,42,12,54,1.5,7.0,Defense
"Aashari Crosswell",AZST,3,103,34.33,50,0,35,8,43,0.0,0.0,Defense
"Jaylon Johnson",UTAH,3,126,42.00,100t,1,31,10,41,1.0,6.0,Defense
"Camryn Bynum",CAL,2,0,0.00,0,0,32,16,48,0.5,3.0,Defense
"Thomas Graham Jr.",ORE,2,0,0.00,0,0,47,9,56,1.0,9.0,Defense
"Jordan Miller",WASH,2,0,0.00,0,0,20,6,26,0.0,0.0,Defense
"Taylor Rapp",WASH,2,0,0.00,0,0,33,26,59,5.0,33.0,Defense
"Jalen Thompson",WSU,2,0,0.00,0,0,40,26,66,0.0,0.0,Defense
"Marquise Blair",UTAH,2,5,2.50,5,0,44,15,59,0.0,0.0,Defense
"Quentin Lake",UCLA,2,12,6.00,12,0,51,16,67,0.0,0.0,Defense
"Skyler Thomas",WSU,2,18,9.00,18,0,46,30,76,0.0,0.0,Defense
