Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,Conference
Jaylinn Hawkins,CAL,6,39,6.5,29,0,25,8,33,0.0,0.0,Defense,Pac-12
Jevon Holland,ORE,5,8,1.6,6,0,31,11,42,0.0,0.0,Defense,Pac-12
Paulson Adebo,STAN,4,45,11.25,43,0,44,19,63,0.0,0.0,Defense,Pac-12
Ashtyn Davis,CAL,4,59,14.75,35t,1,37,18,55,0.0,0.0,Defense,Pac-12
Byron Murphy,WASH,4,78,19.5,66t,1,37,21,58,0.0,0.0,Defense,Pac-12
Deommodore Lenoir,ORE,3,14,4.67,11,0,38,14,52,0.0,0.0,Defense,Pac-12
Chase Lucas,AZST,3,22,7.33,19,0,49,13,62,2.0,10.0,Defense,Pac-12
Traveon Beck,CAL,3,23,7.67,20,0,26,6,32,0.0,0.0,Defense,Pac-12
Darnay Holmes,UCLA,3,31,10.33,31t,1,36,12,48,0.0,0.0,Defense,Pac-12
Scottie Young Jr.,ARIZ,3,63,21.0,38,1,28,10,38,0.0,0.0,Defense,Pac-12
Marcus Strong,WSU,3,66,22.0,66,0,35,7,42,2.0,18.0,Defense,Pac-12
Ugo Amadi,ORE,3,70,23.33,38t,2,42,12,54,1.5,7.0,Defense,Pac-12
Aashari Crosswell,AZST,3,103,34.33,50,0,35,8,43,0.0,0.0,Defense,Pac-12
Jaylon Johnson,UTAH,3,126,42.0,100t,1,31,10,41,1.0,6.0,Defense,Pac-12
Camryn Bynum,CAL,2,0,0.0,0,0,32,16,48,0.5,3.0,Defense,Pac-12
Thomas Graham Jr.,ORE,2,0,0.0,0,0,47,9,56,1.0,9.0,Defense,Pac-12
Jordan Miller,WASH,2,0,0.0,0,0,20,6,26,0.0,0.0,Defense,Pac-12
Taylor Rapp,WASH,2,0,0.0,0,0,33,26,59,5.0,33.0,Defense,Pac-12
Jalen Thompson,WSU,2,0,0.0,0,0,40,26,66,0.0,0.0,Defense,Pac-12
Marquise Blair,UTAH,2,5,2.5,5,0,44,15,59,0.0,0.0,Defense,Pac-12
Quentin Lake,UCLA,2,12,6.0,12,0,51,16,67,0.0,0.0,Defense,Pac-12
Skyler Thomas,WSU,2,18,9.0,18,0,46,30,76,0.0,0.0,Defense,Pac-12
Ben Burr-Kirven,WASH,2,22,11.0,20,0,94,82,176,2.0,12.0,Defense,Pac-12
Nate Landman,COL,2,24,12.0,22,0,65,39,104,4.0,33.0,Defense,Pac-12
Alameen Murphy,STAN,2,32,16.0,32,0,18,17,35,0.0,0.0,Defense,Pac-12
Adarius Pickett,UCLA,2,34,17.0,22,0,77,46,123,0.0,0.0,Defense,Pac-12
Malik Antoine,STAN,2,36,18.0,36,0,36,16,52,1.0,8.0,Defense,Pac-12
Chase Hansen,UTAH,2,40,20.0,40t,1,70,44,114,5.0,43.0,Defense,Pac-12
Evan Weaver,CAL,2,47,23.5,37t,1,86,70,156,4.5,28.0,Defense,Pac-12
Colin Schooler,ARIZ,2,83,41.5,33,0,72,47,119,3.5,22.0,Defense,Pac-12
Marvell Tell III,USC,1,-4,-4.0,0,0,39,17,56,0.0,0.0,Defense,Pac-12
Krys Barnes,UCLA,1,0,0.0,0,0,53,32,85,1.0,9.0,Defense,Pac-12
Sean Barton,STAN,1,0,0.0,0,0,46,45,91,2.0,13.0,Defense,Pac-12
Francis Bernard,UTAH,1,0,0.0,0,0,24,14,38,0.0,0.0,Defense,Pac-12
Thomas Booker,STAN,1,0,0.0,0,0,14,15,29,3.5,29.0,Defense,Pac-12
