Player,Team,Int,Yds,Avg,TD,Solo,Ast,Tot,Sack,Stat Type,Conference
Aashari Crosswell,AZST,3,103,34.33,0,35,8,43,0.0,Defense,Pac-12
Adam Sparks,MIZZ,1,0,0.0,0,31,7,38,0.0,Defense,SEC
Adarius Pickett,UCLA,2,34,17.0,0,77,46,123,0.0,Defense,Pac-12
Ajene Harris,USC,1,6,6.0,1,34,24,58,0.0,Defense,Pac-12
Alameen Murphy,STAN,2,32,16.0,0,18,17,35,0.0,Defense,Pac-12
Allan George,VAN,1,19,19.0,0,25,8,33,0.0,Defense,SEC
Anfernee Jennings,ALA,1,8,8.0,0,26,24,50,5.5,Defense,SEC
Ashtyn Davis,CAL,4,59,14.75,1,37,18,55,0.0,Defense,Pac-12
Ben Burr-Kirven,WASH,2,22,11.0,0,94,82,176,2.0,Defense,Pac-12
Biaggio Ali Walsh,CAL,0,0,0.0,0,1,0,1,0.0,Defense,Pac-12
Big Cat Bryant,AUB,1,20,20.0,1,10,8,18,3.5,Defense,SEC
Brad Stewart,FLA,2,25,12.5,1,22,19,41,0.0,Defense,SEC
Bradlee Anae,UTAH,0,0,0.0,0,27,23,50,7.5,Defense,Pac-12
Brandon Aiyuk,AZST,0,0,0.0,0,1,0,1,0.0,Defense,Pac-12
Brandon Arconado,WSU,0,0,0.0,0,1,0,1,0.0,Defense,Pac-12
Brian Cole II,MSST,1,0,0.0,0,5,6,11,1.0,Defense,SEC
Bryce Thompson,TENN,3,45,15.0,0,24,10,34,1.0,Defense,SEC
Byron Murphy,WASH,4,78,19.5,1,37,21,58,0.0,Defense,Pac-12
C.J. Henderson,FLA,2,0,0.0,0,26,12,38,3.0,Defense,SEC
C.J. Moore,MISS,1,0,0.0,0,13,4,17,0.0,Defense,SEC
C.J. Morgan,MSST,2,7,3.5,0,13,7,20,0.0,Defense,SEC
Cam Hilton,MIZZ,3,2,0.67,0,26,5,31,1.0,Defense,SEC
Cam Phillips,AZST,1,0,0.0,0,13,1,14,0.0,Defense,Pac-12
Cameron Dantzler,MSST,2,8,4.0,0,32,11,43,1.0,Defense,SEC
Cameron Goode,CAL,1,38,38.0,1,3,0,3,0.0,Defense,Pac-12
Camryn Bynum,CAL,2,0,0.0,0,32,16,48,0.5,Defense,Pac-12
Charles Oliver,TAMU,1,0,0.0,0,23,8,31,0.0,Defense,SEC
Chase Hansen,UTAH,2,40,20.0,1,70,44,114,5.0,Defense,Pac-12
Chase Lucas,AZST,3,22,7.33,0,49,13,62,2.0,Defense,Pac-12
Chauncey Gardner-Johnson,FLA,4,110,27.5,2,37,34,71,3.0,Defense,SEC
Christian Holmes,MIZZ,2,42,21.0,1,26,9,35,0.0,Defense,SEC
Christian Tutt,AUB,1,23,23.0,0,17,8,25,1.0,Defense,SEC
Cody Anderson,ORST,0,0,0.0,0,1,0,1,0.0,Defense,Pac-12
Cody Barton,UTAH,1,7,7.0,0,68,48,116,4.0,Defense,Pac-12
Colin Schooler,ARIZ,2,83,41.5,0,72,47,119,3.5,Defense,Pac-12
Corrion Ballard,UTAH,1,23,23.0,0,48,22,70,1.0,Defense,Pac-12
Daniel Arias,COL,0,0,0.0,0,1,2,3,0.0,Defense,Pac-12
Daniel Thomas,AUB,2,29,14.5,1,48,26,74,0.0,Defense,SEC
Dante Wigley,COL,1,27,27.0,1,32,5,37,0.0,Defense,Pac-12
Dare Odeyingbo,VAN,1,7,7.0,0,15,13,28,0.0,Defense,SEC
Darius West,KY,3,51,17.0,0,47,39,86,0.0,Defense,SEC
Darnay Holmes,UCLA,3,31,10.33,1,36,12,48,0.0,Defense,Pac-12
Darrell Williams,AUB,1,26,26.0,1,37,37,74,1.0,Defense,SEC
Darrien Molton,WSU,1,0,0.0,0,37,7,44,1.0,Defense,Pac-12
Darrin Kirkland Jr.,TENN,1,33,33.0,1,29,22,51,1.0,Defense,SEC
Dasmond Tautalatasi,AZST,1,16,16.0,0,10,3,13,0.0,Defense,Pac-12
DeMarkus Acy,MIZZ,3,73,24.33,0,25,5,30,0.0,Defense,SEC
DeShawn Capers-Smith,TAMU,1,12,12.0,0,31,21,52,0.0,Defense,SEC
Deandre Baker,UGA,2,82,41.0,0,31,9,40,0.0,Defense,SEC
Deion Singleton,WSU,1,0,0.0,0,11,3,14,0.0,Defense,Pac-12
Deionte Thompson,ALA,2,65,32.5,0,48,31,79,0.0,Defense,SEC
Delrick Abrams Jr.,COL,0,0,0.0,0,30,10,40,0.0,Defense,Pac-12
Deommodore Lenoir,ORE,3,14,4.67,0,38,14,52,0.0,Defense,Pac-12
Derrick Baity,KY,1,-3,-3.0,0,27,11,38,0.0,Defense,SEC
Derrion Rakestraw,COL,1,0,0.0,0,18,6,24,0.0,Defense,Pac-12
Donovan Stiner,FLA,2,0,0.0,0,22,27,49,1.0,Defense,SEC
Donovan Wilson,TAMU,2,0,0.0,0,37,29,66,2.0,Defense,SEC
Dre Greenlaw,ARK,2,5,2.5,0,38,42,80,2.0,Defense,SEC
Drew Lewis,COL,1,0,0.0,0,38,22,60,2.0,Defense,Pac-12
Ed Paris,LSU,1,0,0.0,0,2,2,4,0.0,Defense,SEC
Edwin Alexander,LSU,0,0,0.0,0,6,22,28,1.0,Defense,SEC
Elijah Gates,UCLA,1,4,4.0,0,29,10,39,0.0,Defense,Pac-12
Elijah Hicks,CAL,1,34,34.0,1,22,9,31,0.0,Defense,Pac-12
Elu Aydon,ORST,0,0,0.0,0,15,21,36,0.5,Defense,Pac-12
Erroll Thompson,MSST,2,0,0.0,0,31,56,87,3.5,Defense,SEC
Evan Weaver,CAL,2,47,23.5,1,86,70,156,4.5,Defense,Pac-12
Evan Worthington,COL,1,0,0.0,0,25,15,40,1.0,Defense,Pac-12
Feleti Afemui,VAN,0,0,0.0,0,2,0,2,0.0,Defense,SEC
Fletcher Adams,MSST,0,0,0.0,0,7,13,20,1.0,Defense,SEC
Francis Bernard,UTAH,1,0,0.0,0,24,14,38,0.0,Defense,Pac-12
Frank Buncom,STAN,1,0,0.0,0,31,20,51,1.0,Defense,Pac-12
Frank Coppet,VAN,3,15,5.0,0,24,6,30,0.0,Defense,SEC
Franklin Agbasimere,MIZZ,0,0,0.0,0,1,1,2,0.0,Defense,SEC
Grant Delpit,LSU,5,1,0.2,0,46,28,74,5.0,Defense,SEC
Greedy Williams,LSU,2,20,10.0,0,23,10,33,0.0,Defense,SEC
Greg Gaines,WASH,1,0,0.0,0,25,30,55,3.5,Defense,Pac-12
Hauati Pututau,UTAH,1,10,10.0,0,9,10,19,1.0,Defense,Pac-12
Isaiah Langley,USC,1,0,0.0,0,36,10,46,0.0,Defense,Pac-12
Israel Antwine,COL,0,0,0.0,0,5,10,15,0.5,Defense,Pac-12
